time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-06-15T20:20:11.357Z,54.2472,-159.433,19.52,3.8,ml,,211,0.592,1.32,us,us7000edbd,2021-06-15T22:12:08.668Z,"139 km SSE of Sand Point, Alaska",earthquake,8.3,13.7,0.064,32,reviewed,us,us
2021-06-15T20:06:34.210Z,17.9693,-66.8381,14,2.49,md,19,181,0.2061,0.26,pr,pr2021166012,2021-06-15T20:21:18.396Z,"3 km SW of Indios, Puerto Rico",earthquake,0.66,0.55,0.21,15,reviewed,pr,pr
2021-06-15T19:14:38.421Z,38.1606,-118.0728,6.7,3,ml,17,69.01,0.016,0.0968,nn,nn00809542,2021-06-15T21:47:36.040Z,"25 km S of Mina, Nevada",earthquake,,0.9,0.5,12,reviewed,nn,nn
2021-06-15T19:02:40.175Z,-29.5485,-177.2807,10,4.6,mb,,133,8.798,1.07,us,us7000edar,2021-06-15T21:26:03.040Z,"Kermadec Islands, New Zealand",earthquake,13.3,1.9,0.103,32,reviewed,us,us
2021-06-15T18:03:13.343Z,30.2673,138.7901,418.22,4.2,mb,,85,2.97,0.78,us,us7000edaj,2021-06-15T21:00:54.502Z,"Izu Islands, Japan region",earthquake,9.2,6.5,0.05,120,reviewed,us,us
2021-06-15T17:35:46.636Z,60.9801,-151.4779,64.1,2.9,ml,,,,0.71,ak,ak0217mtjkw7,2021-06-15T21:14:28.040Z,"20 km WSW of Tyonek, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-06-15T17:22:50.795Z,12.8756,-88.4478,66.07,4,mb,,182,0.602,0.93,us,us7000eda7,2021-06-15T17:54:58.040Z,"46 km SSE of Puerto El Triunfo, El Salvador",earthquake,4.8,6.2,0.231,5,reviewed,us,us
2021-06-15T17:16:11.240Z,19.2186666666667,-155.436333333333,32.79,2.8,ml,59,126,,0.12,hv,hv72526742,2021-06-15T21:09:27.830Z,"4 km ENE of Pāhala, Hawaii",earthquake,0.41,0.52,0.159941094773137,42,reviewed,hv,hv
2021-06-15T14:46:08.166Z,26.6206,97.0787,37,4.8,mb,,57,3.461,0.47,us,us7000ed8l,2021-06-15T15:31:09.040Z,"53 km NNE of Sarupathar, India",earthquake,8.3,5.9,0.061,87,reviewed,us,us
2021-06-15T14:16:14.791Z,-4.2856,102.397,62.47,5.2,mb,,48,0.562,0.71,us,us7000ed89,2021-06-15T19:15:43.416Z,"55 km SSE of Bengkulu, Indonesia",earthquake,7.3,6.1,0.06,96,reviewed,us,us
